Kode Produk;Nama Produk;Variasi;Diharapkan;Terhitung
8896360571210;Pulosari 5 KG;;25;22
8986360571294;Sumur Tujuh;;22;25
8991188943543;Sasa santan kelapa 200 ml;;21;24
8997221220466;Nuget Fancy 250gr;;62;58
8997221221524;JAVA BEEF PATTIES 500GR;;37;34
8997221222132;MINIPAO COKELAT 480GR;;18;18
8997221223849;MINIPAO KEJU 480GR;;9;9
8997221223856;MINIPAO STROBERI 480GR;;12;12
8997221224242;MINIPAO AYAM 480GR;;23;23
8997221224259;MINIPAO SAPI 480GR;;11;11
8997221224877;Spicy chicken 500g ;;15;34
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
