Kode Produk;Nama Produk;Variasi;Diharapkan;Terhitung
11010001;Paha Atas 1.0 Kg;;10;9
11010002;Drum stick 1 kg;;0;8
11010003;Chicken wing 1 kg;;20;9
11010004;Boneless Paha 1.0 Kg Premium;;10;10
11010006;Bakso Java 500gr;;20;20
11010007;Chicken teriyaki 500g;;44;9
11010008;Naget ayam fancy 250 gr;;20;58
11010009;Bart's french fries 1 kg;;0;8
11010014;Naget ayam hati 250 g;;39;20
11010015;Naget ayam fancy 500 g ;;32;12
11010018;Wmeat Aus Beef Lidah Slice 500 gr;;0;20
11010019;Wmeat Aus Beef Rib Eye Steak 200 gr;;20;20
11010020;Wmeat Aus Beef Striploin Steak 200 gr;;20;20
11010021;Wmeat Aus Beef Yakiniku / Teriyaki Slice (Less Fat) 500 gr;;20;33
11010022;Wmeat Aus Beef Oxtail Cut 500 gr;;40;31
11010023;Wmeat Aus Beef All Variant Super Less Fat 500 gr;;19;28
11010024;Wmeat Aus Beef Iga Galbi 500 gr;;5;5
11010025;Wmeat Aus Beef Iga Sop Super (Rib Plate) 500 gr;;38;38
11010026;Wmeat Aus Beef Sukiyaki Slice 500 gr;;38;37
11010027;Wmeat Aus Beef Daging Rendang 500 gr;;20;20
11010028;Wmeat Aus Beef Daging Giling 500 gr;;9;9
11010029;Bratwurst sausage mini ori 500 g;;20;50
11010031;Bratwurst sausage mini keju 500 g;;12;10
8896360571210;Pulosari 5 KG;;25;22
8986360571294;Sumur Tujuh;;22;25
8991188943543;Sasa santan kelapa 200 ml;;21;24
8997221220466;Nuget Fancy 250gr;;62;58
8997221221524;JAVA BEEF PATTIES 500GR;;37;34
8997221222132;MINIPAO COKELAT 480GR;;18;18
8997221223849;MINIPAO KEJU 480GR;;9;9
8997221223856;MINIPAO STROBERI 480GR;;12;12
8997221224242;MINIPAO AYAM 480GR;;23;23
8997221224259;MINIPAO SAPI 480GR;;11;11
8997221224877;Spicy chicken 500g ;;15;34
8997221225164;Sosis Royal Mini;;11;
8997221227595;bakso Java 500gr;;39;75
AP1;W99 Ayam  Parting 10 Ukuran 1.0 Kg;;0;
AP1P;W99 Ayam  Parting 10 Ukuran 1.0 Kg Premium;;0;
BD1;W99 Boneless Dada 1.0 Kg;;10;10
BD1P;Boneless breast 1 kg;;0;
BP1;W99 Boneless Paha 1.0 Kg;;0;10
KL1;W99 Kulit 1.0 Kg;;0;
KL1P;W99 Kulit 1.0 Kg Premium;;9;9
OLN010;Wmeat Aus Beef Striploin Steak 400 gr;;0;20
OLN011;Wmeat Aus Beef Iga Bakar Back Ribs 500 gr;;0;
OLN012;Wmeat Aus Beef Iga Bakar Back Ribs 1000 gr;;0;
OLN015;Wmeat Aus Beef All Variant Tumis / Sop 500 gr;;0;
OLN016;Wmeat Aus Beef All Variant Tumis / Sop 1000 gr;;0;
OLN0290;Wmeat Tenderloin Cube 300 gr;;0;
OLN032;Wmeat Oxtail Super 500 gr;;0;31
PA1P;W99 Paha Atas 1.0 Kg Premium;;0;9
PB1;W99 Paha Bawah 1.0 Kg;;7;8
PB1P;W99 Paha Bawah 1.0 Kg Premium;;0;
SU1;W99 Sayap Utuh 1.0 Kg;;0;
SU1P;W99 Sayap Utuh 1.0 Kg Premium;;9;
TLR001;Telur Ayam;;56,525;
WK004;W99 Karkas 0.4 Kg;;0;
WK005;W99 Karkas 0.5 Kg;;0;
WK006;W99 Karkas 0.6 Kg;;0;
WK007;W99 Karkas 0.7 Kg;;0;38
WK008;W99 Karkas 0.8 Kg;;0;
WK009;W99 Karkas 0.9 Kg;;0;
WK010;W99 Karkas 1.0 Kg;;0;
WK011;W99 Karkas 1.1 Kg;;0;
WK012;W99 Karkas 1.2 Kg;;0;
WK013;W99 Karkas 1.3 Kg;;0;
WM027;Wmeat Aus Beef Bone In Sirloin Steak 250 gr;;0;
WMS002;Wmeat Aus Beef Daging Rendang 1000 gr;;0;20
WMS004;Wmeat Aus Beef Sukiyaki Slice 1000 gr;;0;37
WMS006;Wmeat Aus Beef Yakiniku / Teriyaki Slice (Less Fat) 1000 gr;;0;33
WMS011;Wmeat Aus Beef Tulang Sop Neckbone 500 gr;;0;
WMS012;Wmeat Aus Beef Tulang Sop Neckbone 1000 gr;;0;
WMS016;Wmeat Aus Beef All Variant Super Less Fat 1000 gr;;0;28
WMS018;Wmeat Aus Beef Rib Eye Steak 400 gr;;0;20
WMS022;Wmeat Aus Beef Oxtail Cut 1000 gr;;0;31
WMS024;Wmeat Aus Beef Daging Giling 1000 gr;;0;9
WMS026;Wmeat Aus Beef Iga Sop Super (Rib Plate) 1000 gr;;0;
WMS029;Wmeat Aus Beef Lidah Slice 250 gr;;20;20
