Code,Price
011010001,39400
011010002,39400
011010003,39400
011010004,45000
011010005,37000
011010006,18500
011010007,27700
011010008,13000
011010009,27000
011010014,13000
011010015,19650
011010018,45000
011010019,52000
011010020,52000
011010021,87000
011010022,132000
011010023,57000
011010024,80000
011010025,50000
011010026,89000
011010027,87000
011010028,62000
011010029,48125
011010031,48125
011010033,46000
011010034,34000
8.89636E+12,60000
8.98636E+12,57500
8.99119E+12,8300
8.99722E+12,13000
8.99722E+12,35625
8.99722E+12,14125
8.99722E+12,14125
8.99722E+12,14125
8.99722E+12,14125
8.99722E+12,14125
8.99722E+12,31500
8.99722E+12,53125
AP1,37600
AP1P,38600
BD1,46000
BP1,44000
KL1,35000
KL1P,36000
OLN010,118580
OLN011,67760
OLN012,122210
OLN015,60500
OLN016,112530
OLN0290,118580
OLN032,160930
PB1,39400
PB1P,40400
SU1,39400
SU1P,40400
TLR001,22000
WK004,20000
WK005,23000
WK006,26300
WK007,27800
WK008,29700
WK009,32600
WK011,36100
WK012,38800
WK013,40700
WM027,64000
WMeat01,90750
WMS002,203280
WMS004,209330
WMS006,203280
WMS011,37510
WMS012,62920
WMS016,130680
WMS018,118580
WMS022,312180
WMS024,142780
WMS026,112530
