Kode Produk,Nama Produk,Variasi,Diharapkan,Terhitung
OLN-001,WMeat Daging Rendang 500 gr,,127,130
OLN-002,WMeat Daging Rendang 800 gr,,135,135
OLN-003,WMeat Aus Beef Daging Giling 500 gr,,37,37
OLN-004,WMeat Aus Beef Daging Giling 1 kg,,0,0
OLN-005,WMeat Daging Slice 300 gr,,191,191
OLN-006,WMeat Daging Slice  500 gr,,414,414
OLN-009,WMeat Aus Beef Striploin Steak 200 gr,,162,162
OLN-010,WMeat Aus Beef Striploin Steak 400 gr,,103,103
OLN-011,WMeat Aus Beef Iga Bakar 500 gr,,130,130
OLN-012,WMeat Aus Beef Iga Bakar 1 kg,,189,189
OLN-013,WMeat Tulang Sapi Sop  500 gr,,265,265
OLN-014,WMeat Tulang Sapi Soup  1 kg,,162,162
OLN-015,WMeat Aus Beef All Variant (Tumis/Sop) 500 gr,,0,0
OLN-016,WMeat Aus Beef All Variant (Tumis/Sop) 1 kg,,0,0
OLN-017,WMeat Buntut Sapi / Oxtail Cut  500 gr,,199,199
OLN-018,WMeat Buntut Sapi / Oxtail Cut  1 kg,,126,126
OLN-023,Daging Rendang 1 kg Shank,,627,627
OLN-0290,Tenderloin Cube 300 gr,,0,0
OLN-032,Wmeat Oxtail Super 500 gr,,0,0
WMS-001,WMeat Aus Beef Daging Rendang 500 gram,,0,0
WMS-002,WMeat Aus Beef Daging Rendang 1 kg,,0,0
WMS-003,WMeat Aus Beef Sukiyaki Slice 500 gr,,0,0
WMS-004,WMeat Aus Beef Sukiyaki Slice 1 kg,,0,0
WMS-005,WMeat Aus Beef Yakiniku/Teriyaki Slice 500 gr,,0,0
WMS-006,WMeat Aus Beef Yakiniku/Teriyaki Slice 1 kg,,0,0
WMS-011,WMeat Aus Beef Tulang Sop 500 gr,,0,0
WMS-012,WMeat Aus Beef Tulang Sop 1 kg,,0,0
WMS-015,WMeat Aus Beef All Variant Less Fat 500 gr,,0,0
WMS-016,WMeat Aus Beef All Variant Less Fat 1 kg,,0,0
WMS-017,WMeat Aus Beef Rib Eye Steak 200 gr,,0,0
WMS-018,WMeat Aus Beef Rib Eye Steak 400 gr,,0,0
WMS-021,WMeat Aus Beef Oxtail Cut 500 gr,,0,0
WMS-022,WMeat Aus Beef Oxtail Cut 1 kg,,0,0
WMS-023,WMeat Aus Beef Daging Giling 500 gram,,0,0
WMS-024,WMeat Aus Beef Daging Giling 1 kg,,0,0
WMS-025,WMeat Aus Beef Iga Sop Super 500 gr,,0,0
WMS-026,WMeat Aus Beef Iga Sop Super 1 kg,,0,0
WMS-027,Wmeat Aus Beef Striploin Steak Bone In 250 gr,,0,0
WMS-028,WMeat Aus Beef Lidah Sapi Slice 500 gr,,0,0
WMS-029,WMeat Aus Beef Lidah Sapi Slice 250 gr,,0,0
WMS-030,Wmeat Aus Beef Iga Galbi 500 gr,,0,0
