WMeat Aus Beef Daging Rendang 500 gr,WMS-001,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 63,500 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Daging Rendang 1 kg,WMS-002,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 120,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Sukiyaki Slice 500 gr,WMS-003,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 75,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Sukiyaki Slice 1 kg,WMS-004,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 140,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Yakiniku/Teriyaki Slice 500 gr,WMS-005,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 68,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Yakiniku/Teriyaki Slice 1 kg,WMS-006,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 125,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Iga Sop 500 gr,WMS-007,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 34,500 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Iga Sop 1 kg,WMS-008,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 61,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Iga Bakar 500 gr,WMS-009,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 46,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Iga Bakar 1 kg,WMS-010,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 86,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Tulang Sop 500 gr,WMS-011,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 25,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Tulang Sop 1 kg,WMS-012,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 41,500 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef All Variant (Tumis/Sop) 500 gr,WMS-013,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 35,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef All Variant (Tumis/Sop) 1 kg,WMS-014,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 64,500 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef All Variant Less Fat 500 gr,WMS-015,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 50,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef All Variant Less Fat 1 kg,WMS-016,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 90,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Rib Eye Steak 200 gr,WMS-017,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 44,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Rib Eye Steak 400 gr,WMS-018,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 80,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Striploin Steak 200 gr,WMS-019,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 40,000 ",10,,,,,,,,,,,,,,WMEAT
WMeat Aus Beef Striploin Steak 400 gr,WMS-020,code128,WMEAT,BEEF,Gram,Gram,Gram,0," 75,000 ",10,,,,,,,,,,,,,,WMEAT
