Kode Produk;Nama Produk;Variasi;Diharapkan;Terhitung
WM027;Bone In Sirloin Steak 250 gr (AUS);;0.0000;0
WMS002;Daging Rendang 1 kg (AUS);;0.0000;20
WMS004;Sukiyaki Slice 1 kg (AUS);;0.0000;37
WMS006;Yakiniku / Teriyaki Slice Less Fat 1 kg (AUS);;0.0000;33
WMS011;Tulang Sop Neckbone 500 gr (AUS);;0.0000;0
WMS012;Tulang Sop Neckbone 1 kg (AUS);;0.0000;0
WMS016;All Variant Super Less Fat 1kg (AUS);;0.0000;28
WMS018;Rib Eye Steak 400 gr (AUS);;0.0000;20
WMS022;Oxtail Cut 1 kg (AUS);;0.0000;31
WMS024;Daging Giling 1 kg (AUS);;0.0000;9
WMS026;Iga Sop Super (Rib Plate) 1 kg;;0.0000;0
WMS029;Lidah Slice 250 gr (AUS);;200.000;20
