Nama,Kode,Tipe Barcode,Merek,Kode Kategori,Kode Satuan,Penjualan Kode Satuan,Pembelian Kode Satuan,Harga Beli,Harga Jual,Peringatan Kuantitas,Tarif Pajak,Methode Pajak,Gambar,Sub Kode Kategori,Varian Produk,Produk Custom Field 1,Produk Custom Field 2,Produk Custom Field 3,Produk Custom Field 4,Produk Custom Field 5,Produk Custom Field 6,Kuantitas,Detail,Detail Produk
W99 Karkas 0.4 Kg,WK004,code128,W99,Karkas Utuh,Pack,Pack,Pack," 17,500 "," 20,000 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Karkas 0.5 Kg,WK005,code128,W99,Karkas Utuh,Pack,Pack,Pack," 20,500 "," 23,000 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Karkas 0.6 Kg,WK006,code128,W99,Karkas Utuh,Pack,Pack,Pack," 23,800 "," 26,300 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Karkas 0.7 Kg,WK007,code128,W99,Karkas Utuh,Pack,Pack,Pack," 25,300 "," 27,800 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Karkas 0.8 Kg,WK008,code128,W99,Karkas Utuh,Pack,Pack,Pack," 27,200 "," 29,700 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Karkas 0.9 Kg,WK009,code128,W99,Karkas Utuh,Pack,Pack,Pack," 30,100 "," 32,600 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Karkas 1.0 Kg,WK010,code128,W99,Karkas Utuh,Pack,Pack,Pack," 31,500 "," 34,000 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Karkas 1.1 Kg,WK011,code128,W99,Karkas Utuh,Pack,Pack,Pack," 33,600 "," 36,100 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Karkas 1.2 Kg,WK012,code128,W99,Karkas Utuh,Pack,Pack,Pack," 36,300 "," 38,800 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Karkas 1.3 Kg,WK013,code128,W99,Karkas Utuh,Pack,Pack,Pack," 38,200 "," 40,700 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Boneless Dada 1.0 Kg,BD1,code128,W99,Boneless,Pack,Pack,Pack," 43,500 "," 46,000 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Boneless Dada 1.0 Kg Premium,BD1P,code128,W99,Boneless,Pack,Pack,Pack," 44,500 "," 47,000 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Boneless Paha 1.0 Kg,BP1,code128,W99,Boneless,Pack,Pack,Pack," 41,500 "," 44,000 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Boneless Paha 1.0 Kg Premium,BP1P,code128,W99,Boneless,Pack,Pack,Pack," 42,500 "," 45,000 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Kulit 1.0 Kg,KL1,code128,W99,Boneless,Pack,Pack,Pack," 32,500 "," 35,000 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Kulit 1.0 Kg Premium,KL1P,code128,W99,Boneless,Pack,Pack,Pack," 33,500 "," 36,000 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Paha Atas 1.0 Kg,PA1,code128,W99,Parting,Pack,Pack,Pack," 36,900 "," 39,400 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Paha Atas 1.0 Kg Premium,PA1P,code128,W99,Parting,Pack,Pack,Pack," 37,900 "," 40,400 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Paha Bawah 1.0 Kg,PB1,code128,W99,Parting,Pack,Pack,Pack," 36,900 "," 39,400 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Paha Bawah 1.0 Kg Premium,PB1P,code128,W99,Parting,Pack,Pack,Pack," 37,900 "," 40,400 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Sayap Utuh 1.0 Kg,SU1,code128,W99,Parting,Pack,Pack,Pack," 36,900 "," 39,400 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Sayap Utuh 1.0 Kg Premium,SU1P,code128,W99,Parting,Pack,Pack,Pack," 37,900 "," 40,400 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Ayam Parting 10 Ukuran 1.0 Kg,AP1,code128,W99,Parting,Pack,Pack,Pack," 35,100 "," 37,600 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
W99 Ayam Parting 10 Ukuran 1.0 Kg Premium,AP1P,code128,W99,Parting,Pack,Pack,Pack," 36,100 "," 38,600 ",10,No Tax,exclusive,no_image.png,,,,,,,,,,,
