Code,Price
AP1,37600
AP1P,38600
BD1,46000
BD1P,47000
BP1,44000
BP1P,45000
KL1,35000
KL1P,36000
OLN009,64130
OLN010,118580
OLN011,67760
OLN012,122210
OLN015,60500
OLN016,112530
OLN0290,118580
OLN032,160930
PA1,39400
PA1P,40400
PB1,39400
PB1P,40400
SU1,39400
SU1P,40400
WK004,20000
WK005,23000
WK006,26300
WK007,27800
WK008,29700
WK009,32600
WK010,34000
WK011,36100
WK012,38800
WK013,40700
WM027,73810
WMS001,106480
WMS002,203280
WMS003,108900
WMS004,209330
WMS005,106480
WMS006,203280
WMS011,37510
WMS012,62920
WMS015,70180
WMS016,130680
WMS017,64130
WMS018,118580
WMS021,160930
WMS022,312180
WMS023,76230
WMS024,142780
WMS025,61710
WMS026,112530
WMS028,90750
WMS029,52030
WMS030,98010
